raw_text,clean_text,tokens,processed_text,raw_length,clean_length,tokens_count
"Фильм ориентирован на маленьких детей не старше 10 лет. Смешного в фильме совсем мало. В графе жанр нужно было написать просто 'детская сказка'. Стиллер играет неплохо, только в сценарии, как я уже отмечал, почти нет смешных сцен.

.",фильм ориентирован на маленьких детей не старше лет смешного в фильме совсем мало в графе жанр нужно было написать просто детская сказка стиллер играет неплохо только в сценарии как я уже отмечал почти нет смешных сцен,"['фильм', 'ориентировать', 'маленький', 'ребёнок', 'старший', 'год', 'смешной', 'фильм', 'мало', 'граф', 'жанр', 'нужно', 'написать', 'просто', 'детский', 'сказка', 'стиллер', 'играть', 'неплохо', 'сценарий', 'отмечать', 'смешной', 'сцена']",фильм ориентировать маленький ребёнок старший год смешной фильм мало граф жанр нужно написать просто детский сказка стиллер играть неплохо сценарий отмечать смешной сцена,233,218,23
"Фильм может и классный, но для маленьких школьниц, парням там делать нечего. Типичный фильм для девушек, которые в наши дни верят в 'Принца на белом коне'.

",фильм может и классный но для маленьких школьниц парням там делать нечего типичный фильм для девушек которые в наши дни верят в принца на белом коне,"['фильм', 'классный', 'маленький', 'школьница', 'парень', 'делать', 'нечего', 'типичный', 'фильм', 'девушка', 'который', 'наш', 'день', 'верить', 'принц', 'белый', 'конь']",фильм классный маленький школьница парень делать нечего типичный фильм девушка который наш день верить принц белый конь,157,148,17
"Идея фильма не оригинальна. Сюжет второсортный. Смотреть скучно, т.к. не очень уж интересно узнать, что же случится там на самом деле. И все из-за игры актеров, которые играют вяло и наигранно. Концовка, правда, непредсказуема.",идея фильма не оригинальна сюжет второсортный смотреть скучно т к не очень уж интересно узнать что же случится там на самом деле и все из за игры актеров которые играют вяло и наигранно концовка правда непредсказуема,"['идея', 'фильм', 'оригинальный', 'сюжет', 'второсортный', 'смотреть', 'скучно', 'очень', 'интересно', 'узнать', 'случиться', 'сам', 'дело', 'игра', 'актёр', 'который', 'играть', 'вяло', 'наигранно', 'концовка', 'правда', 'непредсказуемый']",идея фильм оригинальный сюжет второсортный смотреть скучно очень интересно узнать случиться сам дело игра актёр который играть вяло наигранно концовка правда непредсказуемый,227,216,22
"Сегодня с другом посмотрели фильм. Превосходная графика, анимация и хорошо подобранные герои. Я считаю, что этот фильм - один из самых интересных фильмов, которые я видел.",сегодня с другом посмотрели фильм превосходная графика анимация и хорошо подобранные герои я считаю что этот фильм один из самых интересных фильмов которые я видел,"['сегодня', 'друг', 'посмотреть', 'фильм', 'превосходный', 'графика', 'анимация', 'подобрать', 'герой', 'считать', 'фильм', 'самый', 'интересный', 'фильм', 'который', 'видеть']",сегодня друг посмотреть фильм превосходный графика анимация подобрать герой считать фильм самый интересный фильм который видеть,171,163,16
"Обычный фильм, который забудется через полчаса после просмотра. Сюжет почти полностью повторяет историю из фильма 'Переговорщик' c Сэмюэлем Л. Джексоком. Все вторично и не захватывает.

",обычный фильм который забудется через полчаса после просмотра сюжет почти полностью повторяет историю из фильма переговорщик c сэмюэлем л джексоком все вторично и не захватывает,"['обычный', 'фильм', 'забыться', 'полчаса', 'просмотр', 'сюжет', 'полностью', 'повторять', 'история', 'фильм', 'переговорщик', 'сэмюэль', 'джексок', 'вторично', 'захватывать']",обычный фильм забыться полчаса просмотр сюжет полностью повторять история фильм переговорщик сэмюэль джексок вторично захватывать,186,177,15
"Один из моих любимых фильмов, Чадов и Акиньшина  сыграли отлично, Шнур как всегда написал великолепную музыку, режиссёр молодец!

",один из моих любимых фильмов чадов и акиньшина сыграли отлично шнур как всегда написал великолепную музыку режиссёр молодец,"['мой', 'любимый', 'фильм', 'чад', 'акиньшина', 'сыграть', 'отлично', 'шнур', 'написать', 'великолепный', 'музыка', 'режиссёр', 'молодец']",мой любимый фильм чад акиньшина сыграть отлично шнур написать великолепный музыка режиссёр молодец,130,123,13
"Считал Джексона серьезным актером, а после просмотра фильма, создалось впечатление будто он сценарии не читает. Нет, определенно, такой фильм не его уровня. Стоит пересмотреть ваши вкусы, мистер Джексон.

В целом, слабенький фильм. Комедия с парой-троек шуток.

",считал джексона серьезным актером а после просмотра фильма создалось впечатление будто он сценарии не читает нет определенно такой фильм не его уровня стоит пересмотреть ваши вкусы мистер джексон в целом слабенький фильм комедия с парой троек шуток,"['считать', 'джексон', 'серьёзный', 'актёр', 'просмотр', 'фильм', 'создаться', 'впечатление', 'сценарий', 'читать', 'определённо', 'фильм', 'уровень', 'стоить', 'пересмотреть', 'ваш', 'вкус', 'мистер', 'джексон', 'целое', 'слабенький', 'фильм', 'комедия', 'пара', 'тройка', 'шутка']",считать джексон серьёзный актёр просмотр фильм создаться впечатление сценарий читать определённо фильм уровень стоить пересмотреть ваш вкус мистер джексон целое слабенький фильм комедия пара тройка шутка,262,248,26
"Да-м, если бы не господин Батлер, фильм вообще бы не казался таким интересным. Почему-то у режиссёров редко получаютя приличные фильмы о Дракуле, но это кино получилось неплохим. Вампирши-симпатяги, до боли харизматичный Дракула, одна девчушка и т.д.

Оригинальный сюжет. Приятного просмотра!",да м если бы не господин батлер фильм вообще бы не казался таким интересным почему то у режиссёров редко получаютя приличные фильмы о дракуле но это кино получилось неплохим вампирши симпатяги до боли харизматичный дракула одна девчушка и т д оригинальный сюжет приятного просмотра,"['господин', 'батлер', 'фильм', 'вообще', 'казаться', 'такой', 'интересный', 'почему', 'режиссёр', 'редко', 'получаютить', 'приличный', 'фильм', 'дракула', 'кино', 'получиться', 'неплохой', 'вампирша', 'симпатяга', 'боль', 'харизматичный', 'дракула', 'один', 'девчушка', 'оригинальный', 'сюжет', 'приятный', 'просмотр']",господин батлер фильм вообще казаться такой интересный почему режиссёр редко получаютить приличный фильм дракула кино получиться неплохой вампирша симпатяга боль харизматичный дракула один девчушка оригинальный сюжет приятный просмотр,292,281,28
"Одна из немногих заслуживающих внимания из просмотренных мною короткометражек студии «Свободное кино». Не без забавностей и поднимающая простые, но важные проблемы современного человека. А так же локальную проблему неумолимого разрастания города и последующих за этим неудобств для москвичей.",одна из немногих заслуживающих внимания из просмотренных мною короткометражек студии свободное кино не без забавностей и поднимающая простые но важные проблемы современного человека а так же локальную проблему неумолимого разрастания города и последующих за этим неудобств для москвичей,"['один', 'немногий', 'заслуживать', 'внимание', 'просмотреть', 'я', 'короткометражка', 'студия', 'свободный', 'кино', 'забавность', 'поднимать', 'простой', 'важный', 'проблема', 'современный', 'человек', 'локальный', 'проблема', 'неумолимый', 'разрастание', 'город', 'последующий', 'это', 'неудобство', 'москвич']",один немногий заслуживать внимание просмотреть я короткометражка студия свободный кино забавность поднимать простой важный проблема современный человек локальный проблема неумолимый разрастание город последующий это неудобство москвич,292,286,26
"Абсолютно не понравился. Фильм о великовозрастных жеребцах-халявщиках. Так же на халяву они понаходили своих прекрасных богатых невест.

Сюжет предсказуемый с первой до последней минуты, юмор традиционный для таких комедий и несмешной. Одно хорошо:  к фильму напрашивается фраза 'Любовь спасёт мир'.",абсолютно не понравился фильм о великовозрастных жеребцах халявщиках так же на халяву они понаходили своих прекрасных богатых невест сюжет предсказуемый с первой до последней минуты юмор традиционный для таких комедий и несмешной одно хорошо к фильму напрашивается фраза любовь спасёт мир,"['абсолютно', 'понравиться', 'фильм', 'великовозрастный', 'жеребец', 'халявщик', 'халява', 'понаходить', 'свой', 'прекрасный', 'богатый', 'невеста', 'сюжет', 'предсказуемый', 'первый', 'последний', 'минута', 'юмор', 'традиционный', 'такой', 'комедия', 'несмешной', 'один', 'фильм', 'напрашиваться', 'фраза', 'любовь', 'спасти', 'мир']",абсолютно понравиться фильм великовозрастный жеребец халявщик халява понаходить свой прекрасный богатый невеста сюжет предсказуемый первый последний минута юмор традиционный такой комедия несмешной один фильм напрашиваться фраза любовь спасти мир,299,288,29
"Развесёлая, ни к чему не обязывающая и не претендующая на идейную глубину короткометражка в духе забавных мини-мультиков Pixar. Номинировалась на 'Оскар', кстати.

Ничего особенного. Просто смешно.",развесёлая ни к чему не обязывающая и не претендующая на идейную глубину короткометражка в духе забавных мини мультиков pixar номинировалась на оскар кстати ничего особенного просто смешно,"['развесёлый', 'что', 'обязывать', 'претендовать', 'идейный', 'глубина', 'короткометражка', 'дух', 'забавный', 'минь', 'мультик', 'pixar', 'номинироваться', 'оскар', 'кстати', 'особенный', 'просто', 'смешно']",развесёлый что обязывать претендовать идейный глубина короткометражка дух забавный минь мультик pixar номинироваться оскар кстати особенный просто смешно,197,188,18
